race,post_time,distance,surface,purse,race_type,stakes,field_size,top1_program,top1_name,top1_pct,top2_program,top2_name,top2_pct,top3_program,top3_name,top3_pct,top4_program,top4_name,top4_pct,exotic_structure,exotic_unit_cost,exotic_total_cost,exotic_rationale
1,12:45 PM,1 1/4m,Dirt,120000,MSW,,6,6,Pure Joy,28.4,5,Plaza Cue,26.0,3,Ati Girl,21.6,2,Island Girl,11.2,Superfecta 4-horse box,0.1,2.4,Top 4 cover 87% — cheap super box catches any order.
2,1:20 PM,4 1/2f,Dirt,92000,MSW,,8,5,Happy Away,32.2,1,Sargent Bilko,19.7,3,Be My Pal,15.4,7,Uncle With Money,10.5,Trifecta 3-horse box,0.5,3.0,Top 3 cover 67% — tri box at $0.50.
3,1:56 PM,1m,Dirt,63000,CLM 30000,,6,3,Lady Orient,37.7,2,Barbratina,27.6,5,Saint Nancy S,13.7,1,Champagne Nights,8.8,Trifecta key 1st OVER top 3,0.5,3.0,"#3 Lady Orient dominates at 38%. Single on top, spread under."
4,3:05 PM,6f,Dirt,45000,CLM 12500,,8,1,Illini,22.4,5,Lord Majesty,22.3,4,Upturned Brim,15.0,8,Hocus,11.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 81%. Chaos super box.
5,3:38 PM,6 1/2f,Dirt,62000,ALW,,6,1,Wistucky,34.8,3,Exploration,21.1,2,Baytown Bruiser,18.5,6,Tiger's Legacy,12.8,Trifecta key 1st OVER top 3,0.5,3.0,"#1 Wistucky dominates at 35%. Single on top, spread under."
6,4:12 PM,6f,Dirt,35000,MCL 12500,,13,2,Blasphemous Rumors,16.2,13,Click,13.1,7,Cocoa Nimbus,12.4,8,Dancewhenyoucan,9.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 61%. Chaos super box.
7,4:44 PM,1m,Turf,78000,CLM 40000,,9,4,Classy'n Connected,25.7,7,Goodbetterbest,16.1,9,Dozen Diamonds,15.7,2,Sheila's Lion,12.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 80%. Chaos super box.
8,5:15 PM,6f,Dirt,36000,CLM 16000,,12,3,Shadow Coast,20.5,6,Chi Town Prince,13.5,2,Guardian,13.3,10,Where Y'at,10.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 69%. Chaos super box.
9,5:46 PM,6f,Dirt,200000,Stakes,Roxelana S.,8,1,One Magic Philly,26.1,4,Lotsandlotsofcandy,15.6,7,Vincey Girl,13.4,6,Zeitlos,12.9,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 80%. Chaos super box.
10,6:16 PM,1 1/8m,Turf,127000,ALW,,10,3,Without (IRE),34.5,2,Ashley's Archer,15.8,8,Treaty of Rome,12.8,5,Seven Wonders,10.7,Trifecta key 1st OVER top 3,0.5,3.0,"#3 Without (IRE) dominates at 34%. Single on top, spread under."
