race,post_time,distance,surface,purse,race_type,program,name,ml_odds,style,days_since_last,prime_power,current_class,avg_class_last3,class_drop,last3_beyer_best,early_pace_last,late_pace_last,mud_pct,market_prob_pct,pp_prob_pct,model_prob_pct,score_pct,rank,is_top_pick
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,5,Nogradi,1.8,P,46,132.6,115.1,115.2,Y,97,67,96,12,28.1,15.6,14.8,18.7,1,YES
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,3,Different Gravy,4.5,E,52,120.1,111.4,111.6,Y,83,85,83,15,14.3,14.1,18.7,17.4,2,
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,7,Six String Prince,8.0,E,23,119.6,114.0,112.1,,85,95,80,17,8.7,14.0,18.2,15.3,3,
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,6,Cant Stop Munnings,3.5,EP,86,119.7,0,111.2,,88,88,84,9,17.5,14.1,12.0,13.6,4,
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,2,Bourbon Flight,5.0,EP,45,121.0,112.2,110.3,,82,79,85,11,13.1,14.2,12.2,12.5,5,
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,1,C McGriff,6.0,EP,43,120.3,112.9,112.1,,82,84,72,14,11.2,14.1,12.3,12.0,6,
1,12:45 PM,1 1/16m,Dirt,83000,ALW 50000s,4,Midway Munny,10.0,EP,30,118.1,111.0,109.0,,81,71,94,17,7.1,13.9,11.9,10.5,7,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,7,Cardio Cat,3.0,P,0,0,0,0,,0,0,0,0,19.4,2.0,2.2,15.8,1,YES
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,1,Respected Mind,20.0,E,18,117.3,113.1,113.1,,73,89,76,0,3.7,43.0,46.6,12.8,2,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,8,She's Toasty,4.0,P,0,0,0,0,,0,0,0,0,15.5,2.0,2.2,12.7,3,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,5,Go New York Go,4.5,P,0,0,0,0,,0,0,0,0,14.1,2.0,2.2,11.6,4,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,6,Valkyrie,5.0,P,0,0,0,0,,0,0,0,0,12.9,2.0,2.2,10.7,5,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,9,Lady Lux,6.0,P,0,0,0,0,,0,0,0,0,11.1,2.0,2.2,9.2,6,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,11,Angel Life,30.0,S,18,105.3,109.0,109.0,,50,81,63,0,2.5,38.6,33.2,9.0,7,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,2,Storm Diva,8.0,P,0,0,0,0,,0,0,0,0,8.6,2.0,2.2,7.3,8,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,4,Youhadme At Merlot,12.0,P,0,0,0,0,,0,0,0,0,6.0,2.0,2.2,5.2,9,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,3,Rebelka,20.0,P,0,0,0,0,,0,0,0,0,3.7,2.0,2.2,3.4,10,
2,1:14 PM,4 1/2f,Dirt,92000,MSW 92k,10,Powerful Rose,30.0,P,0,0,0,0,,0,0,0,0,2.5,2.0,2.2,2.4,11,
3,1:43 PM,6 1/2f,Dirt,48000,MCL 20000,10,State Charmer,3.0,P,15,110.4,108.9,109.7,Y,66,86,64,0,19.5,12.7,14.6,16.1,1,YES
