race,post_time,distance,surface,purse,race_type,stakes,program,name,jockey,trainer,post_position,ml_odds,style,market_prob_pct,post_iv,style_iv,bias_factor,trainer_tier_bonus,jockey_tier_bonus,score_pct,rank,is_top_pick
1,12:45 PM,1m,Dirt,55000,CLM 16000,,1,Empire Builder,Tyler Gaffalione,Armando Hernandez,1,2.5,,23.3,1.25,1.00,1.087,0.00,0.04,25.2,1,YES
1,12:45 PM,1m,Dirt,55000,CLM 16000,,4,My Noble Knight,Jose L. Ortiz,Kinnon LaRose,4,3.0,,20.4,1.00,1.00,1.000,0.00,0.05,20.4,2,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,8,National Eclipse,"Irad Ortiz, Jr.",Robertino Diodoro,8,3.5,,18.1,0.78,1.00,0.923,0.00,0.05,16.8,3,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,7,Quokka,Agustin Gomez,Cirilo Gorostieta,7,6.0,,11.6,1.00,1.00,1.000,0.00,0.00,11.1,4,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,5,Tres Soles,Gabriel Saez,"William Stinson, Jr.",5,8.0,,9.0,1.00,1.00,1.000,0.00,0.00,8.7,5,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,3,Charbon,Edgar Morales,Chasey Deville Pomier,3,10.0,,7.4,1.25,1.00,1.087,0.00,0.00,7.7,6,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,2,Nip N Tuck,Luan Machado,Barry L. King,2,15.0,,5.1,1.25,1.00,1.087,0.00,0.00,5.3,7,
1,12:45 PM,1m,Dirt,55000,CLM 16000,,6,Raising Kane,Corey J. Lanerie,J. Keith Desormeaux,6,15.0,,5.1,1.00,1.00,1.000,0.00,0.00,4.9,8,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,5,Highly Flammable,"Irad Ortiz, Jr.",Joe Sharp,5,1.8,,28.2,1.00,1.00,1.000,0.00,0.05,27.1,1,YES
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,1,Barksdale,Tyler Gaffalione,David Jacobson,1,3.0,,19.8,1.55,1.00,1.192,0.00,0.04,22.4,2,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,6,Mister Mmmmm,Jose L. Ortiz,Joe Sharp,6,3.0,,19.8,1.00,1.00,1.000,0.00,0.05,19.0,3,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,4,Real Macho,Micah J. Husbands,Rohan G. Crichton,4,3.5,,17.6,1.00,1.00,1.000,0.00,0.00,16.1,4,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,2,Chiringo,Edgar Morales,Genaro Garcia,2,10.0,,7.2,1.55,1.00,1.192,0.00,0.00,7.8,5,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,3,Altobelli,Cesar Diaz,Nery Alvarez,3,20.0,,3.8,1.55,1.00,1.192,0.00,0.00,4.1,6,
2,1:15 PM,6 1/2f,Dirt,64000,CLM 25000,,7,Charbonnay,Cesar Orantes,Nery Alvarez,7,20.0,,3.8,1.00,1.00,1.000,0.00,0.00,3.4,7,
3,1:45 PM,4 1/2f,Dirt,120000,MSW,,7,Ruiva,Juan J. Hernandez,Wesley A. Ward,7,4.0,,15.8,1.00,1.00,1.000,0.04,0.00,16.7,1,YES
3,1:45 PM,4 1/2f,Dirt,120000,MSW,,12,Bush,John R. Velazquez,Brian A. Lynch,12,3.5,,17.5,0.62,1.00,0.867,0.00,0.00,15.5,2,
