race,post_time,distance,surface,purse,race_type,stakes,program,name,jockey,trainer,post_position,ml_odds,style,prime_power,best_last3_beyer,mud_pct,market_prob_pct,post_iv,style_iv,bias_factor,ability_factor,trainer_tier_bonus,jockey_tier_bonus,score_pct,rank,is_top_pick
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,1,Banned for Life,Luis Saez,Albert M. Stall Jr.,1,1.0,E,127.0,90,14,39.5,1.55,1.45,1.228,1.135,0.00,0.04,45.0,1,YES
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,6,You Ain't Poppn,Micah J. Husbands,Saffie A. Joseph Jr.,6,2.5,EP,124.9,86,15,22.5,1.00,1.60,1.120,0.976,0.04,0.00,20.5,2,
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,4,Star's Image,Irad Ortiz Jr.,Joe Sharp,4,4.5,EP,122.0,62,11,14.3,1.00,1.60,1.120,1.150,0.04,0.05,15.9,3,
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,7,Tejon Pass,William Antongeorgi III,William E. Morey,7,10.0,EP,123.3,90,18,7.2,1.00,1.60,1.120,1.038,0.00,0.00,6.6,4,
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,2,Optical,James Graham,J. Keith Desormeaux,2,11.0,S,119.8,91,15,6.6,1.55,0.35,1.007,0.973,0.00,0.00,5.1,5,
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,3,Surf City,Junior Alvarado,Victoria H. Oliver,3,16.0,S,122.7,88,18,4.6,1.55,0.35,1.007,0.971,0.00,0.00,3.6,6,
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,5,Keep On Moving,Jose L. Ortiz,J. Kent Sweezey,5,14.0,P,120.1,81,18,5.3,1.00,0.65,0.930,0.850,0.00,0.05,3.4,7,
2,1:15 PM,6f,Dirt,127000,Alw  127000n1x,,5,Shared Vision,Edgar Morales,George R. Arnold II,5,0.5,EP,122.7,85,11,54.1,1.00,1.60,1.120,1.150,0.03,0.00,60.1,1,YES
2,1:15 PM,6f,Dirt,127000,Alw  127000n1x,,2,She'z the Law,Luis Saez,Gregory D. Foley,2,1.6,P,114.7,74,16,31.2,1.55,0.65,1.067,0.877,0.00,0.04,25.4,2,
2,1:15 PM,6f,Dirt,127000,Alw  127000n1x,,3,Cotillard,J.J. Meza,Luis E. Seglin,3,4.5,E,113.9,80,11,14.7,1.55,1.45,1.228,0.956,0.00,0.00,14.5,3,
3,1:45 PM,1m,Dirt,57000,MC 30000,,5,Spotted,Tyler Gaffalione,Lauren Robson,5,2.0,P,112.6,70,8,25.9,1.00,0.90,0.980,1.150,0.03,0.04,29.9,1,YES
3,1:45 PM,1m,Dirt,57000,MC 30000,,3,My Secret Dreams,Edgar Morales,Genaro Garcia,3,4.0,P,104.6,75,13,15.6,1.25,0.90,1.042,0.957,0.00,0.00,15.3,2,
3,1:45 PM,1m,Dirt,57000,MC 30000,,6,Kopiana,Luis Saez,Ron Moquett,6,5.0,E,113.9,71,17,13.0,1.00,1.10,1.020,1.039,0.00,0.04,13.5,3,
3,1:45 PM,1m,Dirt,57000,MC 30000,,9,Souperrazzledazzle,Jaime A. Torres,Jordan Blair,9,4.0,P,107.4,69,15,15.6,0.78,0.90,0.925,0.908,0.00,0.00,12.8,4,
3,1:45 PM,1m,Dirt,57000,MC 30000,,4,Silvertown,Joseph D. Ramos,Genaro Garcia,4,7.0,S,107.7,69,23,9.7,1.00,0.80,0.960,0.912,0.00,0.00,8.5,5,
3,1:45 PM,1m,Dirt,57000,MC 30000,,2,Fresh Out,Christopher Elliott,Kenneth G. Mcpeek,2,8.0,P,110.7,68,15,8.6,1.25,0.90,1.042,0.943,0.04,0.00,8.3,6,
3,1:45 PM,1m,Dirt,57000,MC 30000,,1,Market Strategy,Axel Concepcion,Michael A. Tomlinson,1,11.0,NA,108.7,58,8,6.5,1.25,1.00,1.062,1.150,0.00,0.00,7.5,7,
3,1:45 PM,1m,Dirt,57000,MC 30000,,8,Motown Sound,Constantino Roman,Hutch Holsapple,8,14.0,NA,97.6,47,15,5.2,0.78,1.00,0.945,0.850,0.00,0.00,4.2,8,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,8,Theoretical,Junior Alvarado,Riley Mott,8,2.0,NA,122.3,76,19,26.4,0.42,1.00,0.855,1.150,0.00,0.00,21.6,1,YES
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,3,Devices,Irad Ortiz Jr.,Joe Sharp,3,5.0,NA,,,9,13.2,1.40,1.00,1.100,1.000,0.04,0.05,16.6,2,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,4,Lexico,Julien R. Leparoux,Donald J. Habeeb,4,6.0,EP,114.7,78,,11.3,0.95,1.35,1.058,1.093,0.00,0.00,15.0,3,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,12,Breaking Hearts,Jose L. Ortiz,Cherie Devaux,12,5.0,E,119.3,71,15,13.2,0.42,0.55,0.765,1.067,0.04,0.05,12.1,4,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,11,Plot,Brian J. Hernandez Jr.,Thomas Drury Jr.,11,7.0,S,115.4,75,17,9.9,0.42,0.85,0.825,1.068,0.03,0.00,9.6,5,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,1,Hardly Ready,William Antongeorgi III,William E. Morey,1,16.0,P,107.1,72,15,4.7,1.40,1.25,1.150,0.945,0.00,0.00,5.4,6,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,13,English Harbour,John R. Velazquez,Lauren Robson,13,17.0,NA,117.2,,15,4.4,0.42,1.00,0.855,1.150,0.03,0.00,4.6,7,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,10,Lady Faye,Gerardo Corrales,Joe B. Roberts,10,16.0,P,107.7,78,18,4.7,0.42,1.25,0.905,1.017,0.00,0.00,4.5,8,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,6,Play On Player,Danny Sheehy,Michelle Lovell,6,20.0,NA,107.2,68,14,3.8,0.95,1.00,0.988,0.903,0.00,0.00,3.5,9,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,7,Mother Lode,James Graham,Destin G. Heath,7,27.0,NA,98.5,62,13,2.8,0.95,1.00,0.988,0.868,0.00,0.00,2.5,10,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,9,Ocean Ripple,Jaime A. Torres,David Jacobson,9,23.0,S,90.0,74,10,3.3,0.42,0.85,0.825,0.850,0.00,0.00,2.4,11,
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,5,Modern Escape,Luis D. Perez,Tito Moreno,5,32.0,EP,101.4,67,15,2.4,0.95,1.35,1.058,0.850,0.00,0.00,2.2,12,
5,2:52 PM,1m,Dirt,35000,MC 12500,,3,Jinxzi,Victor R. Carrasco,Ian R. Wilkes,3,4.0,E,108.8,75,16,15.8,1.25,1.10,1.083,1.150,0.04,0.00,19.8,1,YES
5,2:52 PM,1m,Dirt,35000,MC 12500,,12,Tregetour,Luan Machado,Ben Colebrook,12,3.5,S,106.2,66,14,17.5,0.78,0.80,0.905,1.041,0.00,0.00,16.8,2,
5,2:52 PM,1m,Dirt,35000,MC 12500,,1,Chasing Gray,Jaime A. Torres,Grant T. Forster,1,4.5,E,97.4,65,15,14.3,1.25,1.10,1.083,0.850,0.00,0.00,13.6,3,
